" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2014, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example C: a tetrahedral frame - static and dynamic analysis (in  kip)               "
" Sat May 17 15:28:07 2014
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions 
 First Row , 1 , 17 , 37 , 135  
 Last Row , 1 , 34 , 132 , 152  

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,      8.47584e-05, -2.15617e-03, -3.32889e-03,
     2,  1.69815e-01, -9.03586e-02, -4.80406e-02, -1.39893e-03,  6.05982e-04, -4.78752e-03,
     3,    0.0,        0.0,        0.0,     -8.93388e-04, -6.74000e-04, -2.60327e-03,
     4, -6.55601e-02, -5.20460e-01,  2.01810e-01, -3.17420e-03, -7.93004e-04, -2.71845e-03,
     5,  9.65873e-02, -5.55052e-01, -1.12018e-01, -3.41665e-03,  1.12460e-04, -2.26227e-03,
     6, -2.83419e-03, -2.26473e-01,  5.42664e-02, -2.67660e-03, -3.06864e-04, -2.04851e-03,
     7, -2.56409e-02, -6.67433e-01,  2.30696e-01, -3.06381e-03, -2.25121e-04, -6.34711e-04,
     8,  2.28610e-02, -6.66269e-01, -7.27481e-02, -3.10507e-03, -1.88365e-04, -6.09571e-04,
     9, -6.24333e-03, -3.65867e-01,  7.96326e-02, -2.92110e-03, -1.95846e-04, -6.64534e-04,
    10,  1.44548e-02, -6.68667e-01,  2.65099e-01, -3.33122e-03,  1.60442e-04,  1.12466e-03,
    11, -8.95288e-02, -7.02998e-01, -6.39032e-02, -3.45052e-03, -1.64958e-04,  1.33293e-03,
    12, -6.17148e-03, -3.58383e-01,  1.09321e-01, -3.08660e-03,  9.59843e-05,  6.31616e-04,
    13,  8.41842e-03, -4.04283e-01,  1.73095e-01, -1.81149e-03,  1.55455e-03,  3.22331e-03,
    14, -2.00842e-01, -4.05839e-01, -3.25860e-03, -1.66682e-03,  2.21829e-04,  2.97173e-03,
    15, -6.03326e-03, -2.28954e-01,  8.57524e-02, -1.69880e-03,  7.13172e-04,  2.22842e-03,
    16,    0.0,        0.0,        0.0,     -3.83748e-05,  1.44900e-03,  2.71507e-03,
    17, -2.05182e-01, -1.87788e-02, -9.51128e-03, -1.19430e-04, -2.51464e-04,  5.03315e-03,
    18,    0.0,        0.0,        0.0,     -4.46671e-04,  9.02021e-04,  2.47389e-03,
"F R A M E   E L E M E N T   E N D   F O R C E S  (local)"
Elmnt , Node  ,    Nx     ,    Vy   ,     Vz   ,     Txx   ,    Myy  ,     Mzz
     1,     1,  2.62040e+02, -1.56088e+01, -5.61201e-01, -1.58824e+01, -1.33008e+01, -6.76776e+02,
     1,     2, -2.62040e+02,  1.56088e+01,  8.44432e-01,  1.58824e+01,  7.09938e+01, -8.39607e+02,
     2,     2, -6.49664e+00, -8.45112e-01,  6.78755e-01, -1.29915e+01, -4.87885e+01, -3.90801e+01,
     2,     3,  6.77987e+00,  8.45112e-01, -5.37140e-01,  1.29915e+01, -1.98613e+01, -5.65336e+01,
     3,     1,  2.83231e-01, -3.19102e-01, -9.32015e-01, -6.74688e+00,  3.20074e+01,  3.41001e+01,
     3,     3,  2.83231e-01,  3.19102e-01,  1.21525e+00,  6.74688e+00,  8.80282e+01, -6.97767e+01,
     4,     1,  1.90124e+02,  1.30505e+01, -1.25657e+00,  1.87390e+01,  4.93613e+01,  6.67562e+02,
     4,     4, -1.90124e+02, -1.30505e+01,  1.53980e+00, -1.87390e+01,  1.28826e+02,  7.36439e+02,
     5,     2,  2.12360e+02,  6.11607e+01,  9.15775e-01,  1.16019e+01, -3.44226e+01,  1.13205e+03,
     5,     5, -2.12360e+02,  4.88393e+01, -6.32544e-01, -1.16019e+01, -5.65796e+01, -4.17292e+02,
     6,     3,  1.64383e+01, -4.32765e-01,  1.20910e-01,  1.02535e+01, -6.75512e+00, -5.18768e+01,
     6,     6, -1.64383e+01,  4.32765e-01,  4.45552e-01, -1.02535e+01,  2.38793e+01,  1.23231e+01,
     7,     3,  9.06123e+00,  9.31444e-01, -1.44224e-01,  5.38232e+00,  4.16080e+01,  1.26508e+02,
     7,     4, -9.34446e+00, -9.31444e-01,  4.60886e-01, -5.38232e+00,  6.22772e+00,  1.77625e+01,
     8,     2, -2.82353e+02, -5.02319e-01, -4.44452e-01,  1.08182e+00,  5.90910e+01, -1.93694e+02,
     8,     4,  2.82353e+02,  5.02319e-01,  8.45001e-01, -1.08182e+00, -3.84590e+01, -1.02095e+01,
     9,     2,  6.17337e+00,  1.07091e-01,  1.01468e-01, -4.90097e+00,  3.53611e+01, -8.90704e+01,
     9,     6, -5.60691e+00, -1.07091e-01,  5.31856e-01,  4.90097e+00, -2.26553e+00,  1.06306e+02,
    10,     4,  1.00318e+02, -5.76971e+00, -6.90945e-01, -5.20642e+00,  1.66981e+01, -3.06430e+02,
    10,     5, -1.00318e+02,  5.76971e+00,  9.74177e-01,  5.20642e+00,  3.50754e+01, -2.54275e+02,
    11,     5, -4.48694e+00, -8.37625e-01, -6.00933e-01, -1.94774e+00,  1.61521e+01, -3.25453e+01,
    11,     6,  4.77017e+00,  8.37625e-01,  7.42549e-01,  1.94774e+00,  5.72463e+01, -6.15642e+01,
    12,     4,  2.83632e+00, -6.97395e-02,  1.78367e-01, -4.19986e+00,  7.78192e+00,  3.19253e+00,
